id,free_spots,occupied_spots,last_updated
1,19,66,2024-12-03T22:14:13.262744
2,21,64,2024-12-03T22:14:23.278330
3,20,65,2024-12-03T22:14:33.293918
4,21,64,2024-12-03T22:14:43.325161
5,19,66,2024-12-03T22:15:22.641562
6,21,64,2024-12-03T22:15:32.668908
7,20,65,2024-12-03T22:15:42.700153
8,21,64,2024-12-03T22:15:52.702079
9,85,0,2024-12-03T22:16:02.724076
10,19,66,2024-12-03T22:18:45.731309
11,19,66,2024-12-03T22:18:55.731309
12,21,64,2024-12-03T22:19:05.746912
13,21,64,2024-12-03T22:19:15.763030
14,19,66,2024-12-03T22:28:45.450239
15,20,65,2024-12-03T22:28:55.497129
16,19,66,2024-12-03T22:29:05.481468
17,22,63,2024-12-03T22:29:15.481494
18,19,66,2024-12-03T22:29:56.618194
19,20,65,2024-12-03T22:30:06.671622
20,20,65,2024-12-03T22:30:16.622074
21,20,65,2024-12-03T22:30:26.657277
22,20,65,2024-12-03T22:40:25.826865
23,20,65,2024-12-03T22:40:35.835177
24,21,64,2024-12-03T22:40:45.843950
25,22,63,2024-12-03T22:46:07.590932
26,20,65,2024-12-03T22:46:17.606493
27,21,64,2024-12-03T22:46:27.637831
28,20,65,2024-12-03T22:46:37.668983
29,22,63,2024-12-03T22:46:47.659733
30,19,66,2024-12-03T22:56:01.316154
31,20,65,2024-12-03T22:56:11.316663
32,20,65,2024-12-03T22:56:21.349843
33,21,64,2024-12-03T22:56:31.372343
34,19,66,2024-12-03T23:23:16.036593
35,21,64,2024-12-03T23:23:26.048756
36,20,65,2024-12-03T23:23:36.067297
37,21,64,2024-12-03T23:23:46.081452
38,19,66,2024-12-03T23:55:40.751471
39,21,64,2024-12-03T23:55:50.766062
40,19,66,2024-12-03T23:56:00.784160
41,21,64,2024-12-03T23:56:10.816391
42,19,66,2024-12-03T23:59:43.986688
43,21,64,2024-12-03T23:59:54.014505
44,20,65,2024-12-04T00:00:04.032088
45,21,64,2024-12-04T00:00:14.043783
46,21,64,2024-12-04T01:31:17.044050
47,21,64,2024-12-04T01:31:27.065045
48,21,64,2024-12-04T01:31:37.090414
49,20,65,2024-12-04T01:31:47.125628
50,19,66,2024-12-04T02:30:50.321147
51,20,65,2024-12-04T02:31:00.332377
52,20,65,2024-12-04T02:31:10.347031
53,21,64,2024-12-04T02:31:20.360181
54,19,66,2024-12-04T02:33:37.209325
55,20,65,2024-12-04T02:33:47.238507
56,20,65,2024-12-04T02:33:57.262462
57,20,65,2024-12-04T02:34:07.262947
58,20,65,2024-12-04T02:36:34.528487
59,20,65,2024-12-04T02:36:44.534401
60,21,64,2024-12-04T02:36:54.534825
61,22,63,2024-12-04T02:37:04.565123
